,Unnamed: 0,part0,part1,part2,part3,part4,part5,-/-,-/+,+/-,+/+,output_phenotype,burden -/-,burden -/+,burden +/-,burden +/+
299,299,T10,pTac,PsrA,T10,pBAD,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
300,300,T10,pTac,PsrA,T10,pPsrA,AraC,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[1], [1], [0], [0]]",1.0,1.0,1.0,1.0
301,301,T10,pTac,PsrA,T10,pPsrA,PsrA,"[[0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[1, 0], [0, 1], [0], [0]]",0.5,0.5,1.0,1.0
302,302,T10,pTac,PsrA,T10,pPsrA,tfSp,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[1], [1], [0], [0]]",1.0,1.0,1.0,1.0
303,303,T10,pTac,PsrA,T10,pTac,AraC,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,2.0,2.0
304,304,T10,pTac,PsrA,T10,pTac,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,2.0,2.0
305,305,T10,pTac,PsrA,T10,pTac,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,2.0,2.0
306,306,T10,pTac,tfSp,pTet,pBAD,AraC,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [1], [0], [0]]","[[0], [1], [1], [1], [0], [0]]","[[0], [1], [1], [1], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
307,307,T10,pTac,tfSp,pTet,pBAD,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [1], [0], [0]]","[[0], [1], [1], [1], [0], [0]]","[[0], [1], [1], [1], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
308,308,T10,pTac,tfSp,pTet,pBAD,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [1], [0], [0]]","[[0], [1], [1], [1], [0], [0]]","[[0], [1], [1], [1], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
309,309,T10,pTac,tfSp,pTet,pPsrA,AraC,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,2.0,2.0
310,310,T10,pTac,tfSp,pTet,pPsrA,PsrA,"[[0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0]]","[[0], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[1, 0], [1], [1], [1]]",0.5,1.0,2.0,2.0
311,311,T10,pTac,tfSp,pTet,pPsrA,tfSp,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,2.0,2.0
312,312,T10,pTac,tfSp,pTet,pTac,AraC,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1]]",0.0,1.0,2.0,2.0
313,313,T10,pTac,tfSp,pTet,pTac,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1]]",0.0,1.0,2.0,2.0
314,314,T10,pTac,tfSp,pTet,pTac,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1], [1], [1]]","[[0], [1], [1], [1]]",0.0,1.0,2.0,2.0
315,315,T10,pTac,tfSp,T10,pBAD,AraC,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
316,316,T10,pTac,tfSp,T10,pBAD,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
317,317,T10,pTac,tfSp,T10,pBAD,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [1], [1], [0], [0], [0]]","[[0], [0], [0], [0]]",0.0,0.0,1.0,1.0
318,318,T10,pTac,tfSp,T10,pPsrA,AraC,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,2.0,2.0
319,319,T10,pTac,tfSp,T10,pPsrA,PsrA,"[[0, 0], [0, 0], [0, 0], [0, 0], [1, 0], [1, 0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 1]]","[[0, 0], [1, 1], [1, 1], [0, 0], [1, 0], [1, 0]]","[[0, 0], [1, 1], [1, 1], [0, 0], [0, 1], [0, 1]]","[[1, 0], [0, 1], [1, 0], [0, 1]]",0.5,0.5,1.5,1.5
320,320,T10,pTac,tfSp,T10,pPsrA,tfSp,"[[0], [0], [0], [0], [1], [1]]","[[0], [0], [0], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[1], [1], [1], [1]]",1.0,1.0,2.0,2.0
321,321,T10,pTac,tfSp,T10,pTac,AraC,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,2.0,2.0
322,322,T10,pTac,tfSp,T10,pTac,PsrA,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,2.0,2.0
323,323,T10,pTac,tfSp,T10,pTac,tfSp,"[[0], [0], [0], [0], [0], [0]]","[[0], [0], [0], [0], [0], [0]]","[[0], [1], [1], [0], [1], [1]]","[[0], [1], [1], [0], [1], [1]]","[[0], [0], [1], [1]]",0.0,0.0,2.0,2.0
